"no","part_of_speech","definition","answer"
"852","noun","окоп","trench"
"853","noun","демократия","democracy"
"854","verb","рвать","tear up"
"855","verb","шевелиться","move slightly"
"856","noun","свойство","property (characteristic)"
"857","verb","рухнуть","collapse (sudden)"
"858","adj.","посторонний","foreign (outsider)"
"859","verb","кончаться","end (be ending)"
"860","verb","успокоить","calm down (others)"
"861","verb","рассуждать","reason"
"862","adj.","секретный","secret (confidential)"
"863","noun","приключение","adventure"
"864","adj.","искусственный","artificial"
"865","noun","получение","receiving"
"866","noun","ступенька","step (small step)"
"867","noun","поза","pose"
"868","verb","постучать","knock (once)"
"869","noun","штат","state (in the USA)"
"870","noun","выборы","election"
"871","noun","носок","sock"
"872","noun","сосна","pine"
"873","noun","олень","deer"
"874","adv.","сидя","sitting"
"875","verb","доказывать","prove (repeatedly)"
"876","noun","перемена","alteration"
"877","verb","вытянуть","stretch (stretch out fully)"
"878","noun","бригадир","brigadier"
"879","adv.","впоследствии","subsequently"
"880","noun","уверенность","confidence"
"881","verb","сложить","fold"
"882","noun","акция","promotion (shares, stocks)"
"883","adv.","чрезвычайно","extremely (urgent)"
"884","verb","ранить","wound"
"885","adj.","половой","sexual (relating to gender)"
"886","verb","засыпать","fall asleep (slowly)"
"887","verb","доходить","reach a conclusion"
"888","adj.","космический","space"
"889","noun","жених","bridegroom"
"890","adv.","неподалёку","nearby"
"891","verb","командовать","command, manage"
"892","noun","Китай","China"
"893","verb","сломать","break (completely)"
"894","noun","орел","eagle"
"895","verb","сорваться","burst (sudden event)"
"896","verb","развернуть","unfold (unroll)"
"897","noun","дневник","diary"
"898","adj.","музыкальный","musical"
"899","noun","суббота","Saturday"
"900","noun","повышение","promotion (elevation, raise)"
"901","noun","гимнастерка","tunic"
"902","verb","грозить","threaten (once)"
"903","verb","обмануть","deceive (one-time event)"
"904","noun","статус","status"
"905","verb","посоветовать","advise (specific instance)"
"906","noun","папироса","cap (slang for cigarette)"
"907","verb","разойтись","disperse"
"908","num.","восьмой","eighth"
"909","verb","убежать","escape"
"910","adj.","культурный","cultural"
"911","noun","воскресенье","Sunday"
"912","adj.","собачий","dog"
"913","verb","сохраниться","survive (stay intact)"
"914","verb","помешать","be saved"
"915","noun","проводник","conductor"
"916","noun","рюмка","glass (shot glass)"
"917","noun","свеча","candle"
"918","verb","рассмеяться","laugh"
"919","adv.","красиво","beautifully"
"920","verb","светиться","shine (ongoing)"
"921","noun","белок","protein"
"922","adv.","поначалу","initially (at first)"
"923","adv.","вдвоем","together (in pair)"
"924","","помимо","besides"
"925","verb","вспыхнуть","flare up (sudden event)"
"926","noun","решетка","grid"
"927","noun","фактор","factor"
"928","adj.","слепой","blind"
"929","verb","целовать","kiss (repeatedly)"
"930","noun","отказ","refusal"
"931","noun","волшебник","wizard"
"932","adv.","изредка","occasionally"
"933","verb","нажать","press (press down)"
"934","verb","заказать","order (request)"
"935","verb","соответствовать","correspond"
"936","verb","решаться","decide (be deciding)"
"937","verb","болтать","chat"
"938","noun","указание","instruction (directive)"
"939","noun","доклад","report (oral)"
"940","verb","нестись","rush swiftly"
"941","adv.","прочь","away"
"942","noun","страдание","suffering"
"943","noun","окончание","end (as in termination)"
"944","noun","строка","line (line of text)"
"945","noun","тротуар","sidewalk"
"946","noun","конфликт","conflict"
"947","noun","справка","reference (document)"
"948","noun","мебель","furniture"
"949","adv.","вежливо","politely"
"950","noun","ноготь","nail (on a finger)"
"951","adv.","отнюдь","at all (not at all)"
"952","adj.","химический","chemical"
"953","noun","сосуд","vessel (container)"
"954","noun","Корея","Korea"
"955","adj.","трудовой","labour"
"956","adj.","явный","evident"
"957","verb","владеть","own"
"958","noun","достижение","achievement"
"959","adj.","дополнительный","additional"
"960","noun","асфальт","asphalt"
"961","verb","заменить","replace"
"962","noun","челюсть","jaw"
"963","noun","подвиг","feat"
"964","noun","колдун","sorcerer"
"965","noun","наряд","attire"
"966","verb","кончать","finish (be finishing)"
"967","adj.","письменный","written"
"968","verb","соображать","think (figure out)"
"969","verb","соглашаться","keep agreeing"
"970","adj.","скрытый","hidden"
"971","noun","рисунок","drawing"
"972","verb","прятаться","hide oneself"
"973","","плюс","plus"
"974","verb","попадаться","get caught (repeatedly)"
"975","noun","частность","particularity"
"976","noun","жалость","pity"
"977","noun","транспорт","transportation"
"978","noun","наказание","punishment"
"979","verb","изображать","depict (continuous action)"
"980","verb","выражать","express regularly"
"981","verb","образоваться","form"
"982","verb","способствовать","contribute"
"983","noun","съезд","Congress"
"984","verb","заложить","lay"
"985","num.","семьдесят","seventy"
"986","verb","исходить","emanate"
"987","","накануне","on the eve of"
"988","verb","окончить","finish (finish completely)"
"989","adv.","отчетливо","distinctly"
"990","noun","рамка","frame (border)"
"991","noun","акт","act (document, record)"
"992","noun","посетитель","visitor"
"993","noun","долина","valley"
"994","adv.","невероятно","incredibly"
"995","adj.","невероятный","incredible"
"996","adj.","влажный","moist"
"997","verb","вылезть","climb out (completed action)"
"998","verb","выпасть","fall out"
"999","adj.","божий","divine"
"1000","adj.","социалистический","socialist"
